trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2597,False,"{'a': 0.1, 'e': 0.0744967335145666}",20,6,12.77787691769279,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2598,False,"{'a': 0.1, 'e': 0.07442227401700577}",35,18,23.51155326438634,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
2599,False,"{'a': 0.1, 'e': 0.07434788894172516}",25,9,18.057900841961747,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
2600,False,"{'a': 0.1, 'e': 0.07427357821433969}",25,14,23.779083936918905,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2601,False,"{'a': 0.1, 'e': 0.07419934176053862}",25,20,8.480082501058593,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2602,False,"{'a': 0.1, 'e': 0.07412517950608549}",30,7,-3.3453062766978485,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
2603,False,"{'a': 0.1, 'e': 0.07405109137681805}",30,12,19.480314957206026,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
2604,False,"{'a': 0.1, 'e': 0.07397707729864816}",30,19,22.680546810033157,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2605,False,"{'a': 0.1, 'e': 0.07390313719756174}",20,13,12.150196991995394,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2606,False,"{'a': 0.1, 'e': 0.07382927099961867}",30,8,27.837670917093213,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
2607,False,"{'a': 0.1, 'e': 0.07375547863095275}",25,11,11.928639625738821,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2608,False,"{'a': 0.1, 'e': 0.0736817600177716}",25,11,13.94089393874954,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2609,False,"{'a': 0.1, 'e': 0.07360811508635662}",20,14,10.259724124904773,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2610,False,"{'a': 0.1, 'e': 0.07353454376306286}",35,12,8.496517619207085,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
2611,False,"{'a': 0.1, 'e': 0.07346104597431899}",25,17,5.0913095093408485,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2612,False,"{'a': 0.1, 'e': 0.07338762164662721}",25,15,19.614376979733212,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2613,False,"{'a': 0.1, 'e': 0.0733142707065632}",20,12,14.709562687621192,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2614,False,"{'a': 0.1, 'e': 0.073240993080776}",25,15,-2.857794222021546,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
2615,False,"{'a': 0.1, 'e': 0.07316778869598799}",25,5,30.79523528697092,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2616,False,"{'a': 0.1, 'e': 0.07309465747899477}",30,15,4.779992149872821,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
2617,False,"{'a': 0.1, 'e': 0.07302159935666512}",25,18,13.004090746067607,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2618,False,"{'a': 0.1, 'e': 0.07294861425594092}",20,0,17.61481985133485,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
2619,False,"{'a': 0.1, 'e': 0.07287570210383704}",30,18,24.08082313466376,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2620,False,"{'a': 0.1, 'e': 0.07280286282744133}",20,9,21.820884757084908,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2621,False,"{'a': 0.1, 'e': 0.07273009635391453}",25,15,16.56895593546558,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2622,False,"{'a': 0.1, 'e': 0.07265740261049014}",30,19,-21.39095501766861,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
2623,False,"{'a': 0.1, 'e': 0.07258478152447442}",20,12,14.798975512161713,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2624,False,"{'a': 0.1, 'e': 0.07251223302324628}",20,14,0.45134637991223414,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
2625,False,"{'a': 0.1, 'e': 0.07243975703425719}",20,8,18.450989100571853,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2626,False,"{'a': 0.1, 'e': 0.07236735348503118}",25,13,23.935444952878495,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2627,False,"{'a': 0.1, 'e': 0.07229502230316467}",25,20,10.927042817581256,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2628,False,"{'a': 0.1, 'e': 0.07222276341632651}",30,14,31.256732745962452,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2629,False,"{'a': 0.1, 'e': 0.07215057675225778}",25,11,10.474025201240115,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
2630,False,"{'a': 0.1, 'e': 0.0720784622387718}",25,16,17.052858486036804,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2631,False,"{'a': 0.1, 'e': 0.07200641980375408}",25,8,33.18045310044854,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2632,False,"{'a': 0.1, 'e': 0.07193444937516216}",20,6,10.758059626656774,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2633,False,"{'a': 0.1, 'e': 0.07186255088102561}",20,6,22.80644134334727,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2634,False,"{'a': 0.1, 'e': 0.07179072424944594}",20,6,24.686621704668635,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2635,False,"{'a': 0.1, 'e': 0.07171896940859648}",20,12,16.550068788119656,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2636,False,"{'a': 0.1, 'e': 0.07164728628672241}",35,26,17.080048038682396,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2637,False,"{'a': 0.1, 'e': 0.07157567481214061}",25,16,17.11703537527799,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2638,False,"{'a': 0.1, 'e': 0.07150413491323958}",20,0,7.167604306248636,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
2639,False,"{'a': 0.1, 'e': 0.07143266651847942}",25,14,15.43019411543829,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
2640,False,"{'a': 0.1, 'e': 0.07136126955639173}",20,2,29.146749146080094,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2641,False,"{'a': 0.1, 'e': 0.07128994395557954}",25,11,-15.102292810910686,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
2642,False,"{'a': 0.1, 'e': 0.07121868964471725}",25,11,27.1745090615847,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2643,False,"{'a': 0.1, 'e': 0.07114750655255055}",20,8,23.082396344442984,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2644,False,"{'a': 0.1, 'e': 0.07107639460789632}",25,8,21.901342109846844,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
2645,False,"{'a': 0.1, 'e': 0.07100535373964262}",25,20,7.5700668618169855,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2646,False,"{'a': 0.1, 'e': 0.07093438387674858}",35,19,31.849700946963292,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2647,False,"{'a': 0.1, 'e': 0.07086348494824433}",20,15,12.0847161406503,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2648,False,"{'a': 0.1, 'e': 0.07079265688323094}",25,14,22.16014090621784,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2649,False,"{'a': 0.1, 'e': 0.07072189961088032}",20,9,19.935815640535328,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2650,False,"{'a': 0.1, 'e': 0.07065121306043522}",20,8,-21.454575741578665,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
2651,False,"{'a': 0.1, 'e': 0.07058059716120905}",30,17,-9.570132999209427,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
2652,False,"{'a': 0.1, 'e': 0.07051005184258594}",25,12,22.80644995236533,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2653,False,"{'a': 0.1, 'e': 0.07043957703402054}",25,5,26.113112399789067,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
2654,False,"{'a': 0.1, 'e': 0.07036917266503805}",20,11,16.414975995968014,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2655,False,"{'a': 0.1, 'e': 0.07029883866523408}",30,18,18.65882332321825,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
2656,False,"{'a': 0.1, 'e': 0.07022857496427463}",20,14,9.206068272679804,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2657,False,"{'a': 0.1, 'e': 0.070158381491896}",20,8,22.667822398542125,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2658,False,"{'a': 0.1, 'e': 0.07008825817790472}",25,20,7.611229513300847,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2659,False,"{'a': 0.1, 'e': 0.07001820495217745}",25,7,-12.908101046687147,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
2660,False,"{'a': 0.1, 'e': 0.06994822174466096}",25,8,-13.327878019846738,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
2661,False,"{'a': 0.1, 'e': 0.06987830848537205}",20,8,22.908331242166653,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2662,False,"{'a': 0.1, 'e': 0.06980846510439745}",30,19,-24.08122595608136,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
2663,False,"{'a': 0.1, 'e': 0.06973869153189377}",20,0,27.74643467484433,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2664,False,"{'a': 0.1, 'e': 0.06966898769808744}",30,17,5.521993734903295,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
2665,False,"{'a': 0.1, 'e': 0.06959935353327461}",20,6,26.982120452239712,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2666,False,"{'a': 0.1, 'e': 0.06952978896782111}",20,1,20.69553219914341,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
2667,False,"{'a': 0.1, 'e': 0.06946029393216237}",30,20,18.2907655824015,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2668,False,"{'a': 0.1, 'e': 0.06939086835680335}",25,11,26.732039145370337,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2669,False,"{'a': 0.1, 'e': 0.06932151217231847}",35,18,32.630781367184866,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2670,False,"{'a': 0.1, 'e': 0.06925222530935154}",20,5,16.612593835498764,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
2671,False,"{'a': 0.1, 'e': 0.0691830076986157}",25,5,35.00125995520348,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2672,False,"{'a': 0.1, 'e': 0.06911385927089331}",20,10,-3.8438205108486265,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
2673,False,"{'a': 0.1, 'e': 0.06904477995703595}",25,5,31.422096209582868,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2674,False,"{'a': 0.1, 'e': 0.0689757696879643}",30,21,17.498483102750917,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2675,False,"{'a': 0.1, 'e': 0.0689068283946681}",20,10,18.921190004374797,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2676,False,"{'a': 0.1, 'e': 0.06883795600820602}",25,8,21.17253101662167,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
2677,False,"{'a': 0.1, 'e': 0.0687691524597057}",20,11,15.408718026796123,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
